portfolio,property,address,utility_type,unit,period_number,period_start,period_end,consumption
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,10,2025-06-24,2025-07-23,600514.5
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,11,2025-07-24,2025-08-22,545899.29
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,12,2025-08-23,2025-09-21,513459.81
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,13,2025-09-22,2025-10-21,463806.51
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,14,2025-10-22,2025-11-20,516562.39
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,15,2025-11-21,2025-12-20,530975.71
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,16,2025-12-21,2026-01-19,547630.35
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,17,2026-01-20,2026-02-18,597261.22
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,18,2026-02-19,2026-03-20,560175.88
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,19,2026-03-21,2026-04-19,494024.57
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,20,2026-04-20,2026-05-19,493284.14
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,21,2026-05-20,2026-06-18,564072.93
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,22,2026-06-19,2026-07-18,563846.43
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,23,2026-07-19,2026-08-17,502474.9
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,24,2026-08-18,2026-09-16,222003.87
